Restoran,Asula,Aadress,Koordinaadid
Hesburger Tartu Anne,Tartu,"Anne 38, EE-50601 Tartu, Eesti",
Hesburger Tartu Eedeni keskus,Tartu,"Kalda tee 1c/1d, EE-50703 Tartu, Eesti",
Hesburger Tartu Kvartal,Tartu,"Riia 2, EE-51004 Tartu",
Hesburger Tartu Lõunakeskus,Tartu,"Lääneringtee 39, EE-50501 Tartu, Lõunakeskus",
Hesburger Tartu Ringtee Drive-in,Tartu,"Lääneringtee 12, EE-50407 Tartu, Eesti",
Hesburger Tartu Vabaduse,Tartu,"Vabaduse pst 3, EE-51004 Tartu, Eesti",
Hesburger Tartu Veeriku,Tartu,"Vitamiini 1, EE-51014 Tartu",
Hesburger Võru,Võru,"Jüri 83, EE-65607 Võru maakond, Eesti",
Hesburger Valga Rimi,Valga,"Riia mnt. 18, EE-68203 Valga, Eesti",
Hesburger Viljandi,Viljandi,"Tallinna tn 41, EE-71020 Viljandi, Eesti",
Hesburger Pärnu Maxima,Pärnu,"Maxima Kaubakeskus Pärnu, Riia mnt.131, EE-80024 Pärnu, Eesti",
Hesburger Pärnu Kaubamajakas,Pärnu,"Papiniidu 8, EE-80010 Pärnu, Eesti",
Hesburger Pärnu Niidu Drive,Pärnu,"Pärnu Niidu 9/1, EE-80047 Pärnu, Eesti",
Hesburger Pärnu Port Artur,Pärnu,"Hommiku 2, EE-80010 Pärnu, Eesti",
Hesburger Kuressaare Auriga keskuses,Kuressaare,"Auriga Keskus, Tallinna 88, Kuressaare, 93851 Saare maakond",
Hesburger Haapsalu,Haapsalu,"Jaama 32, EE-90507 Haapsalu, Eesti",
Hesburger Rapla,Rapla,"Rappeli Keskus, Tallinna mnt 4, EE-79511 Rapla",
Hesburger Paide Drive-in,Paide,"Raudtee 29, EE-72715 Paide, Eesti",
Hesburger Keila Selver,Keila,"Piiri 12, EE-76610 Keila, Eesti",
Hesburger Luige Drive-in,Luige,"Viljandi mnt 164, Luige alevik, Kiili vald, 75412",
Hesburger Tallinn Laagri,Tallinn,"Pärnu mnt 453F, EE-10916 Tallinn, Eesti",
Hesburger Tallinn Järve,Tallinn,"Pärnu mnt 141a, EE-11314 Tallinn, Eesti",
Hesburger Maardu,Maardu,"Nurga 3, EE-74113 Maardu Harju maakond",
Hesburger Peetri Selver,Tallinn,"Veesaare tee 2, EE-75312 Rae vald, Eesti",
Hesburger Tallinn Arsenali keskus,Tallinn,"Erika 14, EE-10416 Tallinn, Harjumaa",
Hesburger Tallinn Lasnamäe Centrum,Tallinn,"Mustakivi tee 13, EE-13912 Tallinn, Eesti",
Hesburger Tallinn Kristiine keskus,Tallinn,"Endla 45, EE-10615, Tallinn, Eesti",
Hesburger Tallinn Lasnamäe Smuuli,Tallinn,"J. Smuuli tee 23, EE-13628 Tallinn, Eesti",
Hesburger Tallinn Magistral,Tallinn,"Sõpruse pst 201, EE-13419 Tallinn, Eesti",
Hesburger Tallinn Merimetsa Selver,Tallinn,"Paldiski mnt 56, EE-10617 Tallinn, Eesti",
Hesburger Tallinn Mustamäe,Tallinn,"Mustamäe tee 90A, EE-12916 Tallinn, Eesti",
Hesburger Tallinn Nautica Keskus,Tallinn,"Ahtri 9, EE-10151 Tallinn, Eesti",
Hesburger Tallinn Nurmenuku,Tallinn,"Ehitajate tee 107, EE-13511, Tallinn, Eesti",
Hesburger Tallinn Rocca Al Mare,Tallinn,"Paldiski mnt 98A, EE-13522 Tallinn, Eesti",
Hesburger Tallinn Sikupilli,Tallinn,"Tartu mnt 87, EE-11412 Tallinn, Eesti",
Hesburger Tallinn Solaris Keskus,Tallinn,"Estonia pst 9, EE-10143 Tallinn, Eesti",
Hesburger Tallinn Sõle,Tallinn,"Sõle 25a/1, EE-10614 Tallinn, Harjumaa",
Hesburger Tallinn Sõpruse,Tallinn,"Sõpruse puiestee 157a, EE-13417 Tallinn, Eesti",
Hesburger Tallinn T1,Tallinn,"Peterburi tee 2, EE-11415 Tallinn, Eesti",
Hesburger Tallinn Unibet Arena,Tallinn,"Paldiski mnt 104B, EE-13522 Tallinn, Eesti",
Hesburger Tallinn Viru tn.,Tallinn,"Viru 27A, EE-10148 Tallinn, Eesti",
Hesburger Tallinn Õismäe Maxima,Tallinn,"Ehitajate tee 148, EE-13517 Tallinn, Eesti",
Hesburger Tallinn Ümera,Tallinn,"Ümera 37, EE-13816 Tallinn, Eesti",
Hesburger Tapa Drive-in,Tapa,"Pikk tn 3, EE-45106 Tapa linn, Tapa vald, Lääne-Viru maakond, Eesti",
Hesburger Rakvere Põhjakeskus,Rakvere,"Haljala tee 4, Rakvere vald, EE-44415, Lääne-Virumaa, Eesti",
Hesburger Rakvere Vaala Keskus,Rakvere,"Lõõtspilli tn 2, EE-44313 Rakvere, Eesti,",
Hesburger Kohtla-Järve Vironia Keskus,Kohtla-Järve,"Järveküla tee 50, EE-30321 Kohtla-Järve, Eesti",
Hesburger Jõhvi,Jõhvi,"Keskväljak 4, EE-41531 Jõhvi, Eesti",
Hesburger Ahtme Maxima,Ahtme,"Puru tee 77, EE- 31023 Ahtme, Eesti",
Hesburger Narva Fama Keskus,Narva,"Fama tn 10, EE-20303 Narva, Eesti",
Hesburger Narva Juuli,Narva,"26. Juuli tänav 1a, EE-20207 Narva",
Hesburger Narva Pähklimägi,Narva,"Kivilinna tn 2, EE-20604 Narva, Eesti,",